trading_point,open,high,low,close,volume
2018-05-28,515.84,519.0,506.3,518.02,1938.99
2018-05-28,527.18,530.12,522.0,522.0,512.88
2018-05-28,539.15,542.0,529.77,535.35,1096.01
2018-05-28,530.87,540.99,522.61,539.15,921.84
2018-05-28,533.08,537.35,532.43,537.22,370.79
2018-05-28,571.39,571.91,569.29,571.2,358.56
2018-05-28,571.2,571.41,567.0,570.5,902.57
2018-05-28,570.5,572.24,568.9,571.9,706.21
2018-05-28,571.9,576.45,570.56,571.9,870.79
2018-05-28,571.9,571.9,556.3,558.0,435.86
2018-05-28,537.22,537.22,526.62,530.87,2061.68
2018-05-28,519.85,537.1,519.85,531.99,1743.97
2018-05-28,531.99,539.24,531.53,534.66,618.32
2018-05-28,534.66,535.74,525.47,530.47,907.26
2018-05-28,530.47,536.08,529.08,533.08,289.78
2018-05-28,558.0,558.86,517.23,519.85,4513.56
2018-05-29,559.67,566.99,558.42,566.99,164.38
2018-05-29,568.18,568.69,558.2,559.67,311.17
2018-05-29,568.24,570.0,563.33,568.18,452.93
2018-05-29,564.39,573.34,563.03,568.24,446.47
2018-05-29,565.11,568.32,562.78,564.39,584.18
2018-05-29,564.83,571.38,562.52,565.11,2487.57
2018-05-29,558.73,565.99,554.95,564.83,1035.43
2018-05-29,555.26,560.0,554.53,558.73,485.77
2018-05-29,565.82,569.63,555.58,556.99,1541.54
2018-05-29,557.5,571.86,557.33,565.82,2180.58
2018-05-29,556.99,557.64,548.01,555.26,886.31
2018-05-29,512.23,521.08,512.23,520.19,1675.69
2018-05-29,531.0,556.76,531.0,552.3,4715.77
2018-05-29,520.19,521.84,510.05,520.48,874.25
2018-05-29,520.48,520.88,516.55,520.55,629.4
2018-05-29,520.55,526.06,520.14,525.32,472.94
2018-05-29,525.32,528.61,524.28,527.66,1039.06
2018-05-29,552.3,565.42,549.99,557.5,2476.28
2018-05-29,521.82,524.43,517.76,519.83,1610.63
2018-05-29,519.83,524.33,518.5,523.0,731.06
2018-05-29,523.0,523.73,517.45,519.91,1856.92
2018-05-29,519.91,522.38,518.7,522.16,2271.77
2018-05-29,522.16,531.0,519.11,531.0,5042.55
2018-05-29,527.66,527.68,514.36,521.82,1874.71
2018-05-30,567.97,569.06,551.2,554.72,1953.01
2018-05-30,554.72,555.93,544.29,549.32,3067.79
2018-05-30,549.32,551.83,542.52,544.9,2166.09
2018-05-30,544.9,548.8,541.3,548.05,1051.83
2018-05-30,548.98,553.97,547.38,549.04,2915.81
2018-05-30,546.68,549.41,546.0,548.98,288.23
2018-05-30,549.04,549.85,546.67,548.82,362.89
2018-05-30,548.82,551.7,547.01,550.7,1994.57
2018-05-30,550.7,559.5,550.65,556.82,1236.79
2018-05-30,548.05,550.29,544.97,546.68,515.01
2018-05-30,568.67,568.96,561.08,567.97,586.51
2018-05-30,569.73,571.98,566.94,568.67,641.03
2018-05-30,565.59,571.7,564.34,568.81,1128.79
2018-05-30,566.99,575.0,563.94,573.61,747.88
2018-05-30,573.61,585.32,573.57,577.89,1701.53
2018-05-30,577.89,583.27,572.39,574.12,1618.56
2018-05-30,574.12,574.12,566.27,569.26,1338.75
2018-05-30,569.26,573.51,566.75,571.4,1785.01
2018-05-30,568.81,575.49,568.36,569.73,1050.02
2018-05-30,569.35,572.56,557.12,559.64,2727.78
2018-05-30,559.64,569.0,558.44,566.04,2132.37
2018-05-30,566.04,566.91,557.85,560.53,1337.08
2018-05-30,560.53,566.0,558.81,565.59,348.23
2018-05-30,571.4,573.57,569.0,569.35,1357.46
2018-05-31,573.01,573.91,568.26,571.45,768.06
2018-05-31,583.56,583.56,566.84,571.5,1401.1
2018-05-31,580.57,585.94,577.51,583.56,304.76
2018-05-31,574.28,584.09,573.74,580.57,497.77
2018-05-31,578.67,580.01,574.28,574.28,2485.38
2018-05-31,584.0,585.98,578.11,578.67,1214.84
2018-05-31,574.14,586.0,573.96,584.0,4474.23
2018-05-31,576.0,577.44,573.88,574.14,2212.6
2018-05-31,574.01,578.0,574.01,576.0,2280.43
2018-05-31,571.45,575.07,567.61,574.01,1163.92
2018-05-31,571.5,577.71,571.5,576.85,970.28
2018-05-31,574.5,578.44,572.58,573.01,704.2
2018-05-31,571.16,572.4,568.8,571.95,414.55
2018-05-31,569.22,572.74,568.24,571.16,1156.76
2018-05-31,571.9,572.54,566.07,569.22,1881.82
2018-05-31,573.48,575.47,570.76,571.9,1243.02
2018-05-31,571.08,577.08,569.47,573.48,2850.33
2018-05-31,569.77,574.72,568.19,571.08,1034.04
2018-05-31,561.71,570.78,560.43,569.77,1853.1
2018-05-31,559.33,567.09,559.33,561.71,401.5
2018-05-31,556.31,559.5,555.77,559.33,126.66
2018-05-31,560.02,561.52,556.05,556.31,443.57
2018-05-31,556.82,561.97,553.2,560.02,660.85
2018-05-31,571.95,576.01,566.06,574.5,1652.63
2018-06-01,573.52,576.0,570.75,574.78,524.15
2018-06-01,574.78,577.99,572.01,572.01,340.88
2018-06-01,572.01,572.01,563.9,567.13,880.89
2018-06-01,567.13,568.48,563.38,565.99,481.88
2018-06-01,574.0,575.98,572.43,573.52,393.13
2018-06-01,571.9,572.84,564.29,564.53,567.87
2018-06-01,564.53,570.52,564.22,569.84,179.35
2018-06-01,569.84,580.65,568.82,579.15,2116.92
2018-06-01,579.15,581.45,577.85,578.96,242.89
2018-06-01,565.99,572.98,565.48,571.9,238.45
2018-06-01,573.76,574.07,571.41,574.0,911.31
2018-06-01,576.91,580.78,568.31,571.84,2483.14
2018-06-01,584.58,586.24,569.8,569.8,1180.25
2018-06-01,579.94,580.38,576.17,576.91,1284.68
2018-06-01,576.85,581.79,576.48,579.94,2538.99
2018-06-01,571.84,573.56,567.81,572.85,689.71
2018-06-01,572.85,572.85,568.34,572.65,510.34
2018-06-01,572.65,574.35,571.82,573.0,184.35
2018-06-01,569.8,575.82,569.11,573.76,1321.24
2018-06-01,581.64,585.99,581.53,581.79,1408.76
2018-06-01,581.79,588.5,580.58,587.8,957.85
2018-06-01,587.8,589.0,582.39,583.99,971.22
2018-06-01,583.99,585.99,583.01,584.58,433.69
2018-06-01,573.0,582.51,573.0,581.64,1234.59
2018-06-02,592.0,593.89,590.99,591.0,117.23
2018-06-02,593.95,594.0,591.3,592.0,44.6
2018-06-02,592.98,594.99,590.24,593.95,81.74
2018-06-02,598.69,598.92,590.01,592.98,882.9
2018-06-02,595.21,599.5,593.62,598.69,779.59
2018-06-02,589.27,597.98,588.62,595.21,736.54
2018-06-02,589.39,592.69,587.3,589.27,258.81
2018-06-02,591.13,592.22,586.78,589.39,512.85
2018-06-02,590.69,592.98,589.06,592.51,315.94
2018-06-02,588.63,592.03,588.63,590.69,219.43
2018-06-02,592.0,593.18,587.41,588.63,742.47
2018-06-02,592.51,596.02,588.15,591.13,525.42
2018-06-02,595.99,597.68,589.57,589.99,370.65
2018-06-02,589.99,592.02,588.41,592.0,175.74
2018-06-02,575.18,579.99,575.15,577.98,152.51
2018-06-02,577.98,581.0,577.95,580.44,667.16
2018-06-02,580.44,581.83,576.06,576.58,296.93
2018-06-02,576.58,577.81,574.69,575.75,930.63
2018-06-02,578.96,581.6,573.32,575.18,573.55
2018-06-02,579.45,589.7,575.58,586.72,2265.16
2018-06-02,586.72,590.49,585.61,587.46,1754.68
2018-06-02,587.46,596.25,587.19,593.58,1965.57
2018-06-02,593.58,596.16,592.24,595.99,645.13
2018-06-02,575.75,582.05,574.9,579.45,540.41
2018-06-03,620.21,625.99,618.52,620.3,782.2
2018-06-03,618.85,619.59,615.61,619.59,169.22
2018-06-03,617.13,619.56,615.0,618.85,152.29
2018-06-03,619.63,621.12,616.36,617.13,333.9
2018-06-03,616.92,620.44,613.7,619.63,245.03
2018-06-03,612.03,616.99,607.32,616.92,505.8
2018-06-03,618.1,618.94,611.89,612.03,309.55
2018-06-03,618.01,618.37,611.61,618.1,592.09
2018-06-03,622.98,624.48,618.01,618.01,335.96
2018-06-03,620.3,623.71,616.55,622.19,498.29
2018-06-03,619.69,622.13,617.39,620.21,489.67
2018-06-03,622.19,623.96,618.34,622.98,316.26
2018-06-03,623.36,623.94,614.49,616.91,589.52
2018-06-03,592.15,595.01,592.15,593.0,287.55
2018-06-03,593.0,594.31,590.0,593.62,168.58
2018-06-03,593.62,594.37,590.82,592.0,423.49
2018-06-03,592.0,592.99,591.8,592.47,124.48
2018-06-03,592.47,594.99,592.04,594.67,37.14
2018-06-03,616.91,621.99,616.69,619.69,265.79
2018-06-03,602.87,606.5,602.43,605.85,305.59
2018-06-03,605.85,628.78,605.56,623.05,2264.99
2018-06-03,591.0,593.82,590.5,592.15,27.21
2018-06-03,623.05,625.66,617.56,623.36,510.01
2018-06-03,594.67,604.48,594.66,602.87,1240.05
2018-06-04,596.8,597.26,591.4,592.56,294.24
2018-06-04,598.27,598.27,591.29,591.41,577.64
2018-06-04,596.57,598.8,594.84,598.27,474.47
2018-06-04,589.57,597.67,588.45,596.57,603.97
2018-06-04,589.73,592.18,587.17,589.57,423.94
2018-06-04,585.06,589.73,583.67,589.73,200.81
2018-06-04,582.79,586.97,579.03,585.06,1579.39
2018-06-04,586.59,588.0,582.43,582.79,916.57
2018-06-04,585.0,590.0,583.89,586.59,866.13
2018-06-04,592.56,592.56,581.07,585.0,1479.61
2018-06-04,591.41,592.96,586.0,590.0,591.38
2018-06-04,604.24,604.69,591.12,593.08,1390.83
2018-06-04,607.06,608.15,603.99,604.24,745.48
2018-06-04,593.08,598.27,591.66,596.8,786.93
2018-06-04,623.0,624.03,616.9,619.21,1844.24
2018-06-04,619.21,620.17,614.58,614.58,543.36
2018-06-04,614.58,618.98,614.58,617.32,466.34
2018-06-04,617.32,618.37,616.31,617.99,37.44
2018-06-04,619.59,625.4,618.46,623.0,2273.27
2018-06-04,615.29,615.29,602.38,606.24,1905.46
2018-06-04,606.24,611.53,605.03,607.05,791.13
2018-06-04,607.05,607.49,601.8,604.36,725.84
2018-06-04,604.36,608.27,600.0,607.06,1395.51
2018-06-04,617.99,618.23,612.45,615.29,547.2
2018-06-05,609.9,609.96,606.23,607.53,255.38
2018-06-05,603.83,610.0,603.11,609.9,701.43
2018-06-05,608.54,608.98,602.51,603.83,1522.09
2018-06-05,606.17,609.91,606.05,608.54,426.48
2018-06-05,607.01,609.84,606.04,606.17,699.61
2018-06-05,609.31,613.0,607.0,607.01,1728.8
2018-06-05,605.98,613.0,601.75,609.31,2592.9
2018-06-05,599.83,611.0,598.75,605.98,6490.76
2018-06-05,584.98,586.0,583.08,585.11,2963.13
2018-06-05,586.92,588.39,584.0,584.98,516.27
2018-06-05,585.11,599.83,584.74,599.83,2194.76
