trading_point,open,high,low,close,volume
2021-06-02,2634.86,2802.0,2552.45,2707.66,94476324.24172512
2021-06-03,2702.59,2890.6,2663.49,2856.41,114563011.37386192
2021-06-04,2858.33,2858.33,2550.13,2691.14,96842157.87051377
2021-06-05,2690.92,2819.09,2552.89,2629.4,87539696.02230221
2021-06-06,2627.77,2747.09,2615.55,2710.48,64004280.50674748
2021-06-07,2711.66,2850.0,2574.59,2593.47,106652748.25743157
2021-06-08,2592.52,2623.47,2306.02,2508.85,211707819.6677348
2021-06-09,2508.43,2630.0,2407.9,2612.13,154596524.57817018
2021-06-10,2611.71,2625.0,2427.88,2472.27,93655954.72097012
2021-06-11,2470.77,2499.73,2321.6,2353.1,81456817.40686238
2021-06-12,2354.64,2453.57,2252.58,2367.0,66866669.0273151
2021-06-13,2374.04,2548.6,2307.9,2510.53,90827516.6071946
2021-06-14,2511.66,2609.28,2461.67,2583.06,88491547.9602186
2021-06-15,2581.67,2641.49,2505.27,2544.58,50423368.25840351
2021-06-16,2542.61,2555.06,2350.62,2366.56,77630056.37421207
2021-06-17,2365.7,2461.51,2305.0,2371.13,139035324.4668583
2021-06-18,2373.8,2377.13,2139.49,2227.29,72017030.40305372
2021-06-19,2231.94,2278.4,2161.46,2165.0,41725193.845275104
2021-06-20,2167.43,2277.3,2040.91,2242.6,65426589.93317085
2021-06-21,2244.46,2258.06,1864.79,1887.63,168814044.8300551
2021-06-22,1887.34,1997.0,1700.0,1880.79,167888046.85843277
2021-06-23,1879.95,2044.62,1823.92,1968.7,115321895.24285272
2021-06-24,1968.3,2036.72,1884.1,1989.63,102335616.33330384
2021-06-25,1989.78,2020.03,1791.48,1810.88,111405211.70490608
2021-06-26,1809.9,1852.43,1717.17,1831.03,58849876.98317081
2021-06-27,1828.73,1985.32,1806.85,1983.22,100278467.53974593
2021-06-28,1984.3,2145.0,1962.08,2082.46,112532793.71041104
2021-06-29,2084.17,2247.0,2074.57,2162.5,52711704.153998
2021-06-30,2163.93,2289.4,2088.5,2276.34,65769182.81908829
2021-07-01,2277.34,2277.34,2065.77,2107.77,130044514.41569492
2021-07-02,2106.91,2160.28,2017.7,2155.07,40073190.26872267
2021-07-03,2157.54,2240.77,2113.57,2227.69,61584486.063972
2021-07-04,2226.91,2389.0,2190.76,2324.49,63105438.24713171
2021-07-05,2321.98,2323.45,2159.08,2199.0,36789048.68461365
2021-07-06,2196.06,2351.19,2195.95,2323.16,46296165.100519806
2021-07-07,2321.04,2410.0,2294.17,2312.92,38514158.1226385
2021-07-08,2310.25,2324.74,2084.01,2114.79,113775633.2226093
